x0,x1
0.916471342,0.37146071
1.346079098,-0.191338475
1.264160331,-0.307898174
-0.567403328,0.672286402
1.554483213,-0.445260009
0.628554018,0.622509511
0.976206535,0.333771507
-0.328769202,0.83860315
1.858321069,-0.064533178
-0.182731719,1.049743799
-0.725690021,0.781119535
-0.984038695,0.125927597
0.444327796,-0.25329036
-0.751896397,0.102584817
0.542750815,0.748199532
0.715371399,0.514321658
1.36482769,-0.518747507
-0.87099046,0.517792679
-0.249352119,1.034624405
-0.076220603,0.407782792
-0.056912029,0.361899354
0.833599446,-0.358383992
0.845393967,0.689789791
1.64680978,-0.200937394
1.727136701,0.18985824
0.955576397,0.376552835
-0.067271697,1.03733885
1.774063519,-0.208881468
-0.003226294,1.04475699
1.096120154,-0.408376117
0.581697767,-0.531298862
1.29241043,-0.365754852
-0.669673911,0.787764304
-0.540488412,0.782952799
0.927076711,-0.484612928
-0.243151346,1.02620541
1.943485124,0.263015751
0.152804078,0.06873885
0.722555409,0.398687687
1.068118682,-0.487631359
-0.854143955,0.634488543
-0.494286314,0.868612703
0.327535775,-0.057065339
2.151833578,0.188318778
1.021833315,-0.443773537
0.648554835,0.490354395
1.900096138,0.137780007
-0.800639502,0.636248135
-0.950473703,-0.069325457
-0.89081845,0.721414308
1.564162863,-0.337166718
-0.213580826,1.118591185
0.220212431,0.90642474
-0.936109378,0.429452655
0.826129859,0.551475568
0.58649611,0.821287799
2.13222998,0.557102241
1.025105488,0.194826292
0.066419574,1.133459039
1.809257021,0.360826449
1.744962616,-0.378022097
0.885621213,0.115098182
0.251652632,0.911522869
0.269351122,1.033282609
-0.725402208,0.628558639
0.908770532,-0.57895689
1.533999986,-0.468289731
-0.128199853,0.262117013
0.471017915,1.026879333
0.768006273,0.06342291
1.429865583,-0.461807166
1.615561682,-0.411687496
-0.009513593,0.981487329
0.763807941,0.311108555
1.063831067,-0.578050756
0.008960629,0.043950967
0.132809673,0.99053215
0.19217066,1.036544975
0.396759384,-0.326789071
2.050670129,0.497815385
0.693001054,0.569666509
1.663927326,0.039355942
1.135439866,0.062883053
0.04496633,0.453930814
-0.230544504,0.9579594
1.418886456,-0.411719946
0.359257869,-0.169899626
